Inference for Stan model: anon_model_6164d8efe974107dc2b96f1559771960.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
epsilon_std[31]  -0.36    0.02   0.16  -0.67  -0.47  -0.36  -0.25  -0.08   67.0   1.09
epsilon_std[32]   0.38    0.02   0.15   0.09   0.27   0.38   0.47   0.67   41.0   1.12
epsilon_std[33]  -0.32    0.02   0.17  -0.65  -0.43  -0.32   -0.2 7.4e-3   60.0   1.09
epsilon_std[34]   0.37    0.03   0.27  -0.17    0.2   0.37   0.55   0.92   66.0   1.11
epsilon_std[35]   0.25    0.02   0.15  -0.04   0.16   0.26   0.35   0.54   43.0   1.11
epsilon_std[36]  -0.63    0.02   0.16  -0.97  -0.74  -0.63  -0.52  -0.33   53.0   1.11
epsilon_std[37]-5.0e-3    0.02   0.15   -0.3  -0.11 3.6e-4   0.09   0.28   55.0    1.1
epsilon_std[38]  -0.24    0.02   0.14  -0.53  -0.34  -0.24  -0.14   0.04   40.0   1.13
epsilon_std[39]  -0.01    0.02   0.15  -0.31  -0.11-6.4e-3   0.09   0.27   46.0   1.12
epsilon_std[40]  -0.01    0.03    0.2  -0.42  -0.14-6.0e-3   0.12   0.38   60.0   1.13
epsilon_std[41]  -0.47    0.02   0.15   -0.8  -0.57  -0.46  -0.36  -0.18   42.0   1.14
epsilon_std[42]  -0.47    0.02   0.16  -0.78  -0.57  -0.47  -0.36  -0.17   50.0   1.13
epsilon_std[43]  -0.51    0.02   0.15  -0.81  -0.62  -0.51   -0.4  -0.21   48.0   1.12
epsilon_std[44]   0.14    0.02   0.15  -0.15   0.04   0.14   0.24   0.42   39.0   1.12
epsilon_std[45]  -0.41    0.02   0.16  -0.74  -0.51   -0.4   -0.3  -0.11   78.0   1.07
epsilon_std[46]  -0.37    0.02   0.15   -0.7  -0.47  -0.36  -0.27  -0.09   53.0   1.12
epsilon_std[47]    0.2    0.02   0.15  -0.11    0.1    0.2   0.29   0.49   43.0   1.14
epsilon_std[48]   -0.1    0.02   0.17  -0.45  -0.21   -0.1 7.5e-3   0.22   52.0   1.15
epsilon_std[49]  -0.25    0.02   0.16  -0.58  -0.36  -0.24  -0.13   0.05   83.0   1.07
epsilon_std[50]  -0.02    0.02   0.15   -0.3  -0.12  -0.02   0.08   0.27   60.0   1.08
eps_std           0.16  9.5e-4   0.02   0.13   0.15   0.16   0.17    0.2  305.0   1.02
epsA             -0.09    0.01   0.15  -0.37  -0.19   -0.1 7.8e-5   0.21  113.0   1.04
epsB              0.11  7.9e-3   0.08  -0.06   0.06   0.11   0.17   0.27  110.0   1.05
alpha_std[1]     -0.03    0.01   0.09  -0.21  -0.09  -0.03   0.03   0.14   39.0    1.1
alpha_std[2]      0.11    0.01   0.09  -0.06   0.05   0.11   0.17   0.28   69.0   1.05
alpha_std[3]      0.46    0.02   0.18   0.18   0.34   0.44   0.56   0.87  118.0   1.05
alpha_std[4]   -4.4e-5    0.01   0.09  -0.18  -0.06 2.5e-3   0.06   0.17   55.0   1.07
alpha_std[5]      0.28    0.01   0.15   0.03   0.18   0.27   0.37   0.59  140.0   1.02
alpha_std[6]      0.15  8.8e-3    0.1  -0.04   0.09   0.15   0.22   0.35  126.0   1.03
alpha_std[7]     -0.04    0.01   0.09  -0.21  -0.09  -0.03   0.02   0.12   43.0    1.1
alpha_std[8]      0.08    0.01    0.1  -0.12 7.6e-3   0.08   0.14   0.28   81.0   1.05
alpha_std[9]       0.1    0.01   0.08  -0.06   0.04    0.1   0.15   0.25   63.0   1.05
